"","names","ensb","hugo"
"255","ENSG00000010256.6","ENSG00000010256","UQCRC1"
"256","ENSG00000010270.9","ENSG00000010270","STARD3NL"
"257","ENSG00000010278.7","ENSG00000010278","CD9"
"258","ENSG00000010282.10","ENSG00000010282","HHATL"
"259","ENSG00000010292.8","ENSG00000010292","NCAPD2"
"260","ENSG00000010295.15","ENSG00000010295","IFFO1"
"261","ENSG00000010310.4","ENSG00000010310","GIPR"
"262","ENSG00000010318.15","ENSG00000010318","PHF7"
"263","ENSG00000010319.2","ENSG00000010319","SEMA3G"
"264","ENSG00000010322.11","ENSG00000010322","NISCH"
"265","ENSG00000010327.6","ENSG00000010327","STAB1"
"266","ENSG00000010361.9","ENSG00000010361","FUZ"
"267","ENSG00000010379.11","ENSG00000010379","SLC6A13"
"268","ENSG00000010404.13","ENSG00000010404","IDS"
"269","ENSG00000010438.12","ENSG00000010438","PRSS3"
"270","ENSG00000010539.7","ENSG00000010539","ZNF200"
"271","ENSG00000010610.5","ENSG00000010610","CD4"
"272","ENSG00000010626.10","ENSG00000010626","LRRC23"
"273","ENSG00000010671.11","ENSG00000010671","BTK"
"274","ENSG00000010704.14","ENSG00000010704","HFE"
"275","ENSG00000010803.12","ENSG00000010803","SCMH1"
"276","ENSG00000010810.13","ENSG00000010810","FYN"
"277","ENSG00000010818.4","ENSG00000010818","HIVEP2"
"278","ENSG00000010932.11","ENSG00000010932","FMO1"
"279","ENSG00000011007.8","ENSG00000011007","ELOA"
"280","ENSG00000011009.6","ENSG00000011009","LYPLA2"
"281","ENSG00000011021.17","ENSG00000011021","CLCN6"
"282","ENSG00000011028.9","ENSG00000011028","MRC2"
"283","ENSG00000011052.17","ENSG00000011052","NME1-NME2"
"284","ENSG00000011083.4","ENSG00000011083","SLC6A7"
"285","ENSG00000011105.7","ENSG00000011105","TSPAN9"
"286","ENSG00000011114.10","ENSG00000011114","BTBD7"
"287","ENSG00000011132.7","ENSG00000011132","APBA3"
"288","ENSG00000011143.12","ENSG00000011143","MKS1"
"289","ENSG00000011198.3","ENSG00000011198","ABHD5"
"290","ENSG00000011201.6","ENSG00000011201","ANOS1"
"291","ENSG00000011243.13","ENSG00000011243","AKAP8L"
"292","ENSG00000011258.11","ENSG00000011258","MBTD1"
"293","ENSG00000011260.9","ENSG00000011260","UTP18"
"294","ENSG00000011275.14","ENSG00000011275","RNF216"
"295","ENSG00000011295.11","ENSG00000011295","TTC19"
"296","ENSG00000011304.12","ENSG00000011304","PTBP1"
"297","ENSG00000011332.15","ENSG00000011332","DPF1"
"298","ENSG00000011347.5","ENSG00000011347","SYT7"
"299","ENSG00000011376.5","ENSG00000011376","LARS2"
"300","ENSG00000011405.9","ENSG00000011405","PIK3C2A"
"301","ENSG00000011422.7","ENSG00000011422","PLAUR"
"302","ENSG00000011426.6","ENSG00000011426","ANLN"
"303","ENSG00000011451.13","ENSG00000011451","WIZ"
"304","ENSG00000011454.12","ENSG00000011454","RABGAP1"
"305","ENSG00000011465.12","ENSG00000011465","DCN"
"306","ENSG00000011478.7","ENSG00000011478","QPCTL"
"307","ENSG00000011485.10","ENSG00000011485","PPP5C"
"308","ENSG00000011523.9","ENSG00000011523","CEP68"
"309","ENSG00000011566.10","ENSG00000011566","MAP4K3"
"310","ENSG00000011590.9","ENSG00000011590","ZBTB32"
"311","ENSG00000011600.7","ENSG00000011600","TYROBP"
"312","ENSG00000011638.6","ENSG00000011638","TMEM159"
"313","ENSG00000011677.8","ENSG00000011677","GABRA3"
"314","ENSG00000012048.15","ENSG00000012048","BRCA1"
"315","ENSG00000012061.11","ENSG00000012061","ERCC1"
"316","ENSG00000012124.10","ENSG00000012124","CD22"
"317","ENSG00000012171.13","ENSG00000012171","SEMA3B"
"318","ENSG00000012174.7","ENSG00000012174","MBTPS2"
"319","ENSG00000012211.8","ENSG00000012211","PRICKLE3"
"320","ENSG00000012223.8","ENSG00000012223","LTF"
"321","ENSG00000012232.4","ENSG00000012232","EXTL3"
"322","ENSG00000012504.9","ENSG00000012504","NR1H4"
"323","ENSG00000012660.9","ENSG00000012660","ELOVL5"
"324","ENSG00000012779.6","ENSG00000012779","ALOX5"
"325","ENSG00000012817.11","ENSG00000012817","KDM5D"
"326","ENSG00000012822.11","ENSG00000012822","CALCOCO1"
"327","ENSG00000012963.9","ENSG00000012963","UBR7"
"328","ENSG00000012983.7","ENSG00000012983","MAP4K5"
"329","ENSG00000013016.10","ENSG00000013016","EHD3"
"330","ENSG00000013275.3","ENSG00000013275","PSMC4"
"331","ENSG00000013288.4","ENSG00000013288","MAN2B2"
"332","ENSG00000013293.5","ENSG00000013293","SLC7A14"
"333","ENSG00000013297.6","ENSG00000013297","CLDN11"
"334","ENSG00000013306.11","ENSG00000013306","SLC25A39"
"335","ENSG00000013364.14","ENSG00000013364","MVP"
"336","ENSG00000013374.11","ENSG00000013374","NUB1"
"337","ENSG00000013375.11","ENSG00000013375","PGM3"
"338","ENSG00000013392.6","ENSG00000013392","RWDD2A"
"339","ENSG00000013441.11","ENSG00000013441","CLK1"
"340","ENSG00000013503.5","ENSG00000013503","POLR3B"
"341","ENSG00000013523.5","ENSG00000013523","ANGEL1"
"342","ENSG00000013561.13","ENSG00000013561","RNF14"
"343","ENSG00000013563.9","ENSG00000013563","DNASE1L1"
"344","ENSG00000013573.12","ENSG00000013573","DDX11"
"345","ENSG00000013583.4","ENSG00000013583","HEBP1"
"346","ENSG00000013588.5","ENSG00000013588","GPRC5A"
"347","ENSG00000013619.9","ENSG00000013619","MAMLD1"
"348","ENSG00000013725.10","ENSG00000013725","CD6"
"349","ENSG00000013810.14","ENSG00000013810","TACC3"
"350","ENSG00000014123.9","ENSG00000014123","UFL1"
"351","ENSG00000014138.4","ENSG00000014138","POLA2"
"352","ENSG00000014164.6","ENSG00000014164","ZC3H3"
"353","ENSG00000014216.11","ENSG00000014216","CAPN1"
"354","ENSG00000014257.11","ENSG00000014257","ACPP"
"355","ENSG00000014641.13","ENSG00000014641","MDH1"
"356","ENSG00000014824.9","ENSG00000014824","SLC30A9"
"357","ENSG00000014914.15","ENSG00000014914","MTMR11"
"358","ENSG00000014919.8","ENSG00000014919","COX15"
"359","ENSG00000015133.14","ENSG00000015133","CCDC88C"
"360","ENSG00000015153.10","ENSG00000015153","YAF2"
"361","ENSG00000015171.14","ENSG00000015171","ZMYND11"
"362","ENSG00000015285.6","ENSG00000015285","WAS"
"363","ENSG00000015413.5","ENSG00000015413","DPEP1"
"364","ENSG00000015475.14","ENSG00000015475","BID"
"365","ENSG00000015479.13","ENSG00000015479","MATR3"
"366","ENSG00000015520.10","ENSG00000015520","NPC1L1"
"367","ENSG00000015532.5","ENSG00000015532","XYLT2"
"368","ENSG00000015568.8","ENSG00000015568","RGPD5"
"369","ENSG00000015592.12","ENSG00000015592","STMN4"
